instance,algorithm,n_customers,n_scenarios,delivery_ratio,net_demand,mean_abs_demand,demand_variance,ordering_sensitivity,objective,gap,n_nodes,solve_time_s,cuts_added,proved_optimal,total_distance,expected_penalty,n_vehicles,avg_route_penalty,max_route_peak_mean,p_any_overflow,overflow_position
inst_n10_dr20_0,Baseline_Robust,10,50,0.7,-7.789040741880039,1.7254949406374336,102.75769867428059,0.4998088916106266,inf,100.0,1,0.006967067718505859,"{'route_capacity': 20, 'sec': 4}",False,,,,,,,
inst_n10_dr20_0,STORM_ALNS_Only,10,50,0.7,-7.789040741880039,1.7254949406374336,102.75769867428059,0.4998088916106266,168.78911729903047,,0,0.0,{},False,20.6707863563095,48.11833094272096,1.0,48.11833094272096,0.2199879196103201,0.0,[]
inst_n10_dr20_0,STORM_Exact,10,50,0.7,-7.789040741880039,1.7254949406374336,102.75769867428059,0.4998088916106266,185.8891657066783,0.009734311406928056,11917,15.84917688369751,"{'route': 6580, 'jensen_set': 0, 'rci': 0, 'sec': 368}",True,53.844086090315784,32.04507961636253,1.0,32.04507961636253,4.51296641263683,0.0,[]
inst_n10_dr20_1,Baseline_Robust,10,50,0.6,-6.813319977891801,1.537962494740794,79.39101916275186,0.3740185270662677,inf,100.0,1,0.0006349086761474609,"{'route_capacity': 20, 'sec': 4}",False,,,,,,,
inst_n10_dr20_1,STORM_ALNS_Only,10,50,0.6,-6.813319977891801,1.537962494740794,79.39101916275186,0.3740185270662677,166.8250659893693,,0,0.0,{},False,18.364545640782538,48.46052034858677,1.0,48.46052034858677,0.7419725349945637,0.0,[]
inst_n10_dr20_1,STORM_Exact,10,50,0.6,-6.813319977891801,1.537962494740794,79.39101916275186,0.3740185270662677,191.9967218860763,9.912741859163841,19016,30.0013210773468,"{'route': 11575, 'jensen_set': 0, 'rci': 0, 'sec': 562}",False,50.4200415942028,41.57668029187349,1.0,41.57668029187349,2.3244799269223493,0.0,[]
inst_n10_dr20_2,Baseline_Robust,10,50,0.9,-17.235260521147534,1.7762024779618586,98.21969218580796,0.5972202840952008,inf,100.0,1,0.0005428791046142578,"{'route_capacity': 20, 'sec': 4}",False,,,,,,,
inst_n10_dr20_2,STORM_ALNS_Only,10,50,0.9,-17.235260521147534,1.7762024779618586,98.21969218580796,0.5972202840952008,150.68031342344284,,0,0.0,{},False,18.653250308712792,32.02706311473004,1.0,32.02706311473004,0.263382129235526,0.0,[]
inst_n10_dr20_2,STORM_Exact,10,50,0.9,-17.235260521147534,1.7762024779618586,98.21969218580796,0.5972202840952008,159.28551144222644,3.5268935055929833,19878,30.00126004219055,"{'route': 8909, 'jensen_set': 0, 'rci': 0, 'sec': 447}",False,28.54560437818129,30.739907064045155,1.0,30.739907064045155,0.0,0.0,[]
inst_n10_dr40_0,Baseline_Robust,10,50,0.8,-11.406724736508673,2.0416982351199344,103.70212479643115,0.4998088916106266,inf,100.0,1,0.024465084075927734,"{'route_capacity': 20, 'sec': 4}",False,,,,,,,
inst_n10_dr40_0,STORM_ALNS_Only,10,50,0.8,-11.406724736508673,2.0416982351199344,103.70212479643115,0.4998088916106266,163.54120869692056,,0,0.0,{},False,20.6707863563095,42.870422340611064,1.0,42.870422340611064,0.0,0.0,[]
